Date_of_Sale,Address,County,Eircode,Price,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Sale_Year,Sale_Month
2020-08-14,"45 ORCHARD GROVE, KENMARE, KERRY",Kerry,,146000.0,0,0,0,,2020,8
2025-02-21,"178 CAISLEAN VIEW, BALLINCOLLIG, CORK",Cork,P31A393,350000.0,0,0,0,,2025,2
2022-08-12,"2 GARDEN COURT, LOWER MAIN ST, LETTERKENNY",Donegal,F92R7W2,78000.0,0,0,0,,2022,8
2012-11-30,"46 Sundale Close, Mountainview, Tallaght  Dublin 24",Dublin,,80000.0,0,0,0,,2012,11
2024-03-22,"APPARTMENT 26 RIVERVIEW, FORBES QUAY, DUBLIN 2",Dublin,D02XP38,500000.0,0,0,0,,2024,3
2010-01-26,"21A Whyteleaf Grove, The Donaghies, Dublin 13",Dublin,,345000.0,0,0,0,,2010,1
2025-09-05,"5 SHELTON PARK, KIMMAGE ROAD WEST, DUBLIN 12",Dublin,D12RR96,690000.0,0,0,0,,2025,9
2012-05-31,"31 Clonard Park, Ballybeg, Waterford",Waterford,,53391.0,1,0,0,,2012,5
2014-12-04,"APT 8, LONG QUAY APTS, LONG QUAY",Cork,,85000.0,0,0,0,,2014,12
2014-12-03,"59 FERNWOOD CRESCENT, LEHENAGHMORE, CORK",Cork,,196000.0,0,0,0,,2014,12
2023-01-18,"47 MOUNTPLEASANT SQ, RANELAGH, DUBLIN 6",Dublin,D06K802,111111.11,0,0,0,,2023,1
2023-04-03,"1 COURTVILLE, ROCKY RD, MIDLETON",Cork,P25XF43,265000.0,0,0,0,,2023,4
2023-07-21,"16 TARA COURT AVE, NAVAN, MEATH",Meath,C15F9R3,280000.0,0,0,0,,2023,7
2020-11-06,"71 WHITEOAKS, CLONSKEAGH, DUBLIN 14",Dublin,,310000.0,0,0,0,,2020,11
2020-05-07,"64 THE MILLRACE, BURRIN RD, CARLOW",Carlow,,180000.0,0,0,0,,2020,5
2014-09-25,"48 PORTERSGATE HEIGHTS, CLONSILLA, DUBLIN 15",Dublin,,285000.0,0,0,0,,2014,9
2014-04-09,"200 FERNHILL, ARKLOW, WICKLOW",Wicklow,,102500.0,1,0,0,,2014,4
2015-08-13,"23 MEADOW VALE, BLACKROCK, DUBLIN",Dublin,,505000.0,0,0,0,,2015,8
2024-09-24,"177 DOORADOYLE PARK, LIMERICK, LIMERICK",Limerick,V94KN90,286000.0,0,0,0,,2024,9
2022-06-07,"1A THE PINES, WOODLEY PARK, DUBLIN 14",Dublin,,282272.0,0,0,0,,2022,6
2021-07-13,"10 ARDMORE GARDENS, BROWNESHILL RD, CARLOW",Carlow,R93FP92,183000.0,0,0,0,,2021,7
2011-08-02,"5 The Willows, Latt, Cavan",Cavan,,120000.0,0,0,0,,2011,8
2017-06-02,"35 FLAXFIELDS, CONVOY, DONEGAL",Donegal,,85000.0,0,0,0,,2017,6
2018-06-21,"68 LAGHTAGOONA, COROFIN, CLARE",Clare,,170000.0,0,0,0,,2018,6
2024-08-02,"27 GRATTAN CRESCENT, GRATTAN PARK, CLAREMORRIS",Mayo,F12R8K1,252000.0,0,0,0,,2024,8
2017-10-13,"21 COIS NA HABHAINN, OLD BAWN, TALLAGHT",Dublin,,340000.0,0,0,0,,2017,10
2013-12-16,"12 Mill Hill Lawns, Manorhamilton",Leitrim,,51982.38,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2013,12
2010-11-17,"76 Whitworth Road, Glasnevin, Dublin 9",Dublin,,355000.0,0,0,0,,2010,11
2025-02-14,"13 BEAUMONT COURT, BEAUMONT, DUBLIN 9",Dublin,D09X0Y5,320000.0,0,0,0,,2025,2
2024-11-22,"2 SHANDON MILL, SHANDON PARK, PHIBSBOROUGH DUBLIN 7",Dublin,D07FW9F,390000.0,1,0,0,,2024,11
2018-12-14,"56 THE COURTYARD, BRU NA GRUADAN, CASTLETROY",Limerick,,155000.0,0,0,0,,2018,12
2019-03-20,"7 ELLENSBOROUGH GREEN, KILTIPPER RD, TALLAGHT DUBLIN 24",Dublin,,372000.0,0,0,0,,2019,3
2016-05-27,"15 ROSELAWN, KELLS ROAD, KILKENNY",Kilkenny,,171806.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2021-09-07,"HOLIDAY BUNGALOW 5, CARRAHANE LOWER, BANNA",Kerry,,168000.0,0,0,0,,2021,9
2013-10-30,"2 Castle Way, Chancery Lane/ Golden Lane",Dublin,,273926.0,0,0,1,greater than or equal to 38 sq metres and less than 125 sq metres,2013,10
2021-07-09,"129 BOIREANN BHEAG, ROSCAM, GALWAY",Galway,H91TP95,170000.0,0,0,0,,2021,7
2013-07-01,"57 Springmeadows, Dungarvan",Waterford,,100000.0,0,0,0,,2013,7
2018-06-13,"8 MONKSFIELD LAWNS, CLONDALKIN, DUBLIN 22",Dublin,,270000.0,0,0,0,,2018,6
2018-12-10,"2 ARDMORE AVE, NARROWAYS RD, BETTYSTOWN",Meath,,195000.0,0,0,0,,2018,12
2015-02-18,"9 THORNLEIGH TERRACE, APPLEWOOD VILLAGE, SWORDS",Dublin,,190000.0,0,0,0,,2015,2
2025-06-06,"24 LOUGHSTOWN HOLIDAY VILLAGE, DRUMCREE, CO WESTMEATH",Westmeath,,180000.0,1,0,0,,2025,6
2019-12-12,"2 Bishops Gate, Block A, Enniskerry Road",Dublin,,315828.0,0,1,1,,2019,12
2015-05-27,"10 SILVER SPRING, WATERGATE STREET, BANDON",Cork,,139000.0,0,0,0,,2015,5
2013-09-04,"13 Islean, Ballyjamesduff",Cavan,,60000.0,0,0,0,,2013,9
2025-02-27,"RINCURRAN MEWS HOUSE, THE PADDOCKS, ARDBRACK",Cork,P17HN34,1480000.0,0,0,0,,2025,2
2021-01-15,"22 RUSSELL LAWN, FR RUSSELL RD, BALLYKEEFFE",Limerick,,301000.0,0,0,0,,2021,1
2022-09-06,"6 ST BRENDANS DR, CHARLEVILLE, CORK",Cork,P56CP02,115000.0,0,0,0,,2022,9
2023-01-30,"2 VILLA TERRACE ST JOHNS, CARRICK ON SUIR, TIPPERARY",Tipperary,E32HN83,100000.0,0,0,0,,2023,1
2013-07-29,"17 Orchard Close, Donabate",Dublin,,230000.0,0,0,0,,2013,7
2015-12-17,"BALLYMURRIN, KILL, WATERFORD",Waterford,,149000.0,0,0,0,,2015,12
2013-03-22,"61 Droim na Coille, Dromin Road, Nenagh",Tipperary,,120000.0,0,0,0,,2013,3
2015-06-05,"11 POLLERTON MANOR, CARLOW, CARLOW",Carlow,,200000.0,0,0,0,,2015,6
2022-10-28,"KILLEENMORE, KILLEIGH, TULLAMORE",Offaly,R35X791,365000.0,0,0,0,,2022,10
2024-03-11,"44 Newtown Meadows, Castletroy, County Limerick",Limerick,,314977.97,0,1,1,,2024,3
2017-06-09,"29 PEARSE RD, ENNISCORTHY, WEXFORD",Wexford,,90000.0,0,0,0,,2017,6
2024-06-06,"16 SPRINGFIELD, CASTLEREA, ROSCOMMON",Roscommon,F45WV72,160000.0,0,0,0,,2024,6
2018-09-13,"4 HAZELCROFT TERRACE, FINGLAS SOUTH, DUBLIN 11",Dublin,,60500.2,1,0,0,,2018,9
2023-07-28,"128 - 135 (inclusive), Block 3, Gleann An Ghairdin",Wexford,,1709251.1,0,1,1,,2023,7
2018-11-27,"50 SPRINGVALE, EDMONDSTOWN RD, RATHFARNHAM DUBLIN 14",Dublin,,412500.0,0,0,0,,2018,11
2020-07-31,"60 BEECH PARK WEST, ATHLONE, CO WESTMEATH",Westmeath,,110000.0,0,0,0,,2020,7
2024-03-26,"49 TIVOLI HEIGHTS, SILVERSPRINGS, CLONMEL",Tipperary,E91FR58,330000.0,0,0,0,,2024,3
2014-08-21,"5 FOXWOOD DR, GARRYDUFF, ROCHESTOWN",Cork,,382000.0,0,0,0,,2014,8
2018-04-25,"APARTMENT 4 BLOCK 2, COIS ABHAINN, CLANE",Kildare,,149950.0,0,0,0,,2018,4
2025-02-04,"7 PAIRC NA HEAGLAISE, LAGHTAGOONA, COROFIN",Clare,V95K6W0,271000.0,0,0,0,,2025,2
2014-10-24,"PROPERTY A, BALLINDANGAN, MITCHELSTOWN",Cork,,18000.0,0,0,0,,2014,10
2011-01-06,"Meadowlands, Rochestown",Cork,,600000.0,0,1,1,greater than 125 sq metres,2011,1
2021-12-15,"18 JERVIS PLACE, ABBEY ST UPPER, DUBLIN 1",Dublin,D01YW94,305000.0,0,0,0,,2021,12
2023-05-31,"52 ABBEYLANDS, MULLINGAR, WESTMEATH",Westmeath,N91E8D9,197000.0,0,0,0,,2023,5
2021-06-18,"14 CILL BEG MANOR, STRADBALLY, CO LAOIS",Laois,R32X5Y9,170000.0,0,0,0,,2021,6
2020-06-12,"Units 5-16 & 18-25  inclusive, Maudelin's Brook, Duleek",Meath,,5381867.84,0,1,1,,2020,6
2021-11-18,"BALLYCLOUGH, KILWORTH, CO CORK",Cork,P61NT96,290000.0,0,0,0,,2021,11
2024-05-31,"Apartment 156, De Verdon Place, Malahide Road",Dublin,,522959.47,1,1,1,,2024,5
2015-10-08,"Apartment No 25, The Seasons, Carrigaline",Cork,,165198.23,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2015,10
2015-01-28,"162 Grande Central, Sandyford",Dublin,,251754.0,0,0,0,,2015,1
2015-05-26,"9 THE DALE, HAZELHATCH PARK, CELBRIDGE",Kildare,,250000.0,0,0,0,,2015,5
2023-02-27,"16 AUGHAVANAGH RD, CRUMLIN, DUBLIN 12",Dublin,D12W863,480000.0,0,0,0,,2023,2
2024-02-28,"110 HANSFIELD, CLONEE, DUBLIN 15",Dublin,D15W9NY,350000.0,0,0,0,,2024,2
2019-08-01,"2 GARRAI BEAG, KILNALECK, CAVAN",Cavan,,98000.0,0,0,0,,2019,8
2022-05-19,"20 Graydon Green, Graydon, Newcastle",Dublin,,356828.0,0,1,1,,2022,5
2023-01-06,"CLERRAGH, FAIRYMOUNT, CASTLEREA",Roscommon,F45VY98,180000.0,0,0,0,,2023,1
2013-07-19,"68 Cherryfield Road, Walkinstown",Dublin,,310000.0,0,0,0,,2013,7
2015-04-01,"84 abbeyfield, ballitore",Kildare,,110133.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2015,4
2015-02-16,"HEATHMOUNT, CRATLOE, CLARE",Clare,,247258.32,0,0,0,,2015,2
2019-12-02,"12 THE MEWS, FAITHLEGG HOLIDAY COTTAGES, WATERFORD",Waterford,,91250.0,0,0,0,,2019,12
2012-04-05,"8 Grangecourt, Pollerton",Carlow,,110000.0,0,0,0,,2012,4
2020-05-01,"1 CARNAROSS VILLAGE, KELLS, CO MEATH",Meath,,160000.0,0,0,0,,2020,5
2020-12-02,"19 LEINSTER COTTAGES, MAYNOOTH, KILDARE",Kildare,,230000.0,0,0,0,,2020,12
2013-05-17,"21  Fforster Close, Lucan",Dublin,,192000.0,0,0,0,,2013,5
2016-02-23,"17 ROEBUCK PARK, GOATSTOWN, DUBLIN 14",Dublin,,910000.0,0,0,0,,2016,2
2010-06-22,"Apartment 318  Citywest Plaza, Citywest Drive, Dublin 24",Dublin,,119951.0,0,1,1,less than 38 sq metres,2010,6
2013-08-30,"34 COLLEGE AVE, CLONMEL, TIPPERARY",Tipperary,,56000.0,0,0,0,,2013,8
2014-07-02,"Priors Point, Carrick-on-Shannon",Leitrim,,431000.0,0,0,0,,2014,7
2010-01-08,"24 abbey park, killester avenue",Dublin,,275000.0,0,0,0,,2010,1
2021-12-17,"54 CLOS NA RI, COOLCOTTS, WEXFORD",Wexford,Y35W5R5,210000.0,0,0,0,,2021,12
2024-12-18,"84 ROSEDALE CRESCENT, CLONEE, DUBLIN 15",Dublin,D15X6C9,300000.0,0,0,0,,2024,12
2021-05-11,"78 castlewellan park, aghards road, celbridge",Kildare,,374405.29,0,1,1,,2021,5
2014-07-15,"35 ARD AOIBHINN, INNISHANNON, CO. CORK",Cork,,196000.0,0,0,0,,2014,7
2015-06-09,"Apt 27 Millrace Green, Saggart",Dublin,,205000.0,0,0,1,greater than or equal to 38 sq metres and less than 125 sq metres,2015,6
2018-05-23,"20 ASHFORD, MONKSLAND, ATHLONE",Westmeath,,110000.0,0,0,0,,2018,5
2016-08-12,"APARTMENT 1 CENTRA, MAIN STREET, BALLYJAMESDUFF",Cavan,,60000.0,0,0,0,,2016,8
2015-05-22,"AN GORT PLUDACH, KILLEENLEIGH, AGHABULLOGUE",Cork,,310000.0,0,0,0,,2015,5
2014-07-29,"EASTMOUNT, KNOCKNACREE ROAD, DALKEY",Dublin,,1480000.0,0,0,0,,2014,7
2024-10-02,"22 THE KILN, JAMES ST, WESTPORT",Mayo,F28N765,285000.0,0,0,0,,2024,10
2013-09-20,"39 MACREGOL PARK, BIRR",Offaly,,115000.0,0,0,0,,2013,9
2015-10-09,"3 LOCH ABHAINN, LEIGHLIN RD, CARLOW",Carlow,,115000.0,0,0,0,,2015,10
2024-09-27,"10 BLACKOAK RISE, NEWPORT, MAYO",Mayo,F28EP65,136563.88,0,1,1,,2024,9
2014-06-11,"166 Leargan, Ballymoneen West",Galway,,229074.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2014,6
2015-09-25,"BRANDYWYNE, RATHMICHAEL HAVEN, RATHMICHAEL",Dublin,,1880000.0,0,0,0,,2015,9
2023-07-11,"6 Pottersfield Green, Ardee",Louth,,321585.9,0,1,1,,2023,7
2016-11-15,"26 CASHEL RD, TIPPERARY, TIPPERARY",Tipperary,,62000.0,0,0,0,,2016,11
2013-04-17,"18 Castle Manor, Ferns",Wexford,,126500.0,0,0,0,,2013,4
2018-12-11,"9 ARD CAOIN, MANORCUNNINGHAM, LETTERKENNY",Donegal,,96000.0,0,0,0,,2018,12
2021-06-03,"9 ARD MOR AVE, FORTUNESTOWN LANE, TALLAGHT DUBLIN 24",Dublin,D24V5N3,245000.0,0,0,0,,2021,6
2020-08-26,"BOHURL, LETTERKENNY, CO DONEGAL",Donegal,,90000.0,0,0,0,,2020,8
2017-11-15,"24 BERRYS CLOSE SPA RD, INCHICORE DUBLIN 8, DUBLIN",Dublin,,54552.89,1,0,0,,2017,11
2024-02-23,"10 FOXBURY, GOLFLINKS ROAD, BETTYSTOWN",Meath,A92H9K5,460000.0,0,0,0,,2024,2
2020-01-24,"32 THE CROFT, CLAIRNWOOD, TRAMORE",Waterford,,175000.0,0,0,0,,2020,1
2019-04-11,"EFFERNOCK, TRIM, CO MEATH",Meath,,326798.49,0,0,0,,2019,4
2024-10-15,"Apartment 13  Hayfield Court, Churchview Road and Church Road, Killiney  DN15061 (part of)",Dublin,,416228.91,0,1,1,,2024,10
2022-04-14,"HELEN BLAKE HOUSE, RALPH, FETHARD ON SEA",Wexford,Y34VY75,380000.0,0,0,0,,2022,4
2010-04-16,"44 Merrion Hall, Mount Merrion Avenue, Blackrock",Dublin,,321585.9,0,1,1,less than 38 sq metres,2010,4
2019-10-29,"9 GLINCOOL VILLAS, BALLINCOLLIG, CORK",Cork,,260000.0,0,0,0,,2019,10
2017-04-13,"65 DANESFORT COURT, LOUGHREA, GALWAY",Galway,,90000.0,0,0,0,,2017,4
2024-02-29,"131 PEARSE RD, BALLYPHEHANE, CORK",Cork,T12N5H2,295000.0,0,0,0,,2024,2
2016-02-05,"19 Ornamenta Gardens, Oldtown Demesne, Naas",Kildare,,220300.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2016,2
2019-10-01,"BALLOUGHTON, WELLINGTONBRIDGE, WEXFORD",Wexford,,180000.0,0,0,0,,2019,10
2021-06-17,"49 THE OAKS, FRENCHPARK, ROSCOMMON",Roscommon,,86000.0,0,0,0,,2021,6
2020-06-17,"25 PEYTON SQUARE, RATHCOOLE, CO. DUBLIN",Dublin,,340500.0,0,0,0,,2020,6
2021-12-01,"32 OAKDALE PARK, TEMPLEMORE, TIPPERARY",Tipperary,E41KV05,225000.0,0,0,0,,2021,12
2018-07-20,"16 ARVOUGH, KINVARA, GALWAY",Galway,,220000.0,0,0,0,,2018,7
2019-02-01,"13/15 ROCK HILL, MAIN STREET, BLACKROCK",Dublin,,258300.0,0,0,0,,2019,2
2017-08-16,"7 BESSBOROUGH AVE, NORTH STRAND, DUBLIN 3",Dublin,,345000.0,0,0,0,,2017,8
2014-04-25,"52 LIAM HEALY RD, FAIRHILL, CORK",Cork,,45000.0,0,0,0,,2014,4
2020-11-20,"8 Crockaun Way, Brownstown, Curragh",Kildare,,290000.0,1,1,1,,2020,11
2018-12-20,"APT 4C, LISSANALTA DR, DOORADOYLE",Limerick,,175000.0,0,0,0,,2018,12
2021-03-31,"9 BROOKVILLE PARK, MALAHIDE ROAD, DUBLIN 5",Dublin,,545000.0,0,0,0,,2021,3
2015-12-03,"11 Laharran Way, Manor Farm, Lehenaghbeg",Cork,,207928.88,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2015,12
2016-03-24,"3 MERRION MEWS, DUBLIN 4",Dublin,,575000.0,0,0,0,,2016,3
2014-09-19,"2 BRAMBLE PARK, BRIDGETOWN, WEXFORD",Wexford,,120000.0,0,0,0,,2014,9
2020-03-09,"24 THE PLAZA, HEADFORD RD, GALWAY CITY",Galway,,225000.0,0,0,0,,2020,3
2019-12-17,"HILLVIEW, GRANBY ROW, CARLOW",Carlow,,227049.35,0,0,0,,2019,12
2010-03-15,"7 Sunnyhill, Castlemartin Lodge, Kilcullen",Kildare,,310000.0,0,0,0,,2010,3
2018-12-11,"46 ST MARGARETS RD, HAMPTON WOOD, FINGLAS DUBLIN 11",Dublin,,158000.0,0,0,0,,2018,12
2020-10-02,"8 CARAGH COURT, PHILIPSBURGH AVE, FAIRVIEW DUBLIN 3",Dublin,,160000.0,0,0,0,,2020,10
2023-04-24,"18 THE WALLED GARDENS, CASTLETOWN, CELBRIDGE",Kildare,W23RW26,325000.0,0,0,0,,2023,4
2020-01-13,"5 Seagreen Gate, Blacklion, Greystones",Wicklow,,440529.0,0,1,1,,2020,1
2018-08-24,"8 CALLARY RD, MOUNT MERRION, BLACKROCK",Dublin,,1310000.0,0,0,0,,2018,8
2013-08-23,"33 Phibsboro Road, Phibsboro",Dublin,,162000.0,0,0,0,,2013,8
2023-05-24,"19 MEADOW COURT, TUAM, GALWAY",Galway,H54RK63,210000.0,0,0,0,,2023,5
2020-12-11,"8 WYGRAM PLACE, WEXFORD",Wexford,Y35V9D3,120000.0,1,0,0,,2020,12
2017-07-04,"OISIN, KNOCKANANNA, ARKLOW",Wicklow,,220000.0,0,0,0,,2017,7
2022-08-05,"APT 3   BLOCK 8, ST CLARES PARK, HAROLDS CROSS ROAD",Dublin,D6WFV52,459123.06,1,1,1,,2022,8
2021-01-29,"84 BLACKLION MANOR, GREYSTONES, CO WICKLOW",Wicklow,,275000.0,0,0,0,,2021,1
2024-03-07,"APARTMENT 1, CHURCH STREET, COOTEHILL",Cavan,H16KC59,65000.0,0,0,0,,2024,3
2020-09-28,"3A POYNTZ LANE, KILKENNY, KILKENNY",Kilkenny,,100000.0,0,0,0,,2020,9
2013-02-26,"21 Greenfield Heights, Rathwire, Killucan",Westmeath,,110000.0,0,0,0,,2013,2
2016-03-16,"15 BRIDGET ST, FERMOY, CO CORK",Cork,P61R261,50000.0,0,0,0,,2016,3
2022-01-14,"37 GORDON ST, DUBLIN 4, DUBLIN",Dublin,D04Y2X0,340000.0,0,0,0,,2022,1
2017-01-24,"22 HANBURY HALL, MEATH STREET, DUBLIN",Dublin,,250000.0,0,0,0,,2017,1
2016-06-23,"2 BRIDGEPOINT, ABBEY SQ, ENNISCORTHY",Wexford,,35000.0,0,0,0,,2016,6
2015-12-11,"15 ST BRIGIDS TERRACE, CIRCULAR RD, KELLS",Meath,,155000.0,0,0,0,,2015,12
2012-05-24,"9 Kilbelin Avenue, Newbridge",Kildare,,220000.0,0,0,0,,2012,5
2023-11-28,"BALLINVOLTIG, WATERFALL, CORK",Cork,T12KW5P,275000.0,0,0,0,,2023,11
2016-06-02,"47 Barrettstown Meadows, Newbridge",Kildare,,341409.69,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6
2015-03-27,"75 Creighan Manor, Cavan",Cavan,,81057.0,0,1,1,greater than 125 sq metres,2015,3
2010-08-27,"391 Grace Park Heights, Drumcondra",Dublin,,315000.0,0,0,0,,2010,8
2016-11-24,"2 GOLDSMITHS AVE, RICHMOND HILL, CORK",Cork,,95000.0,0,0,0,,2016,11
2017-09-11,"54 The AvenueScholarstown Wood, Dublin 14",Dublin,,506609.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2017,9
2021-12-23,"APT T1, KINGS COURT, MANOR WEST",Kerry,,125000.0,0,0,0,,2021,12
2018-06-01,"27 ROSEMOUNT HEIGHTS, CAHIR, CO TIPPERARY",Tipperary,,162500.0,0,0,0,,2018,6
2023-10-31,"61 CLOYNE MEADOWS, CLOYNE, CORK",Cork,P25V186,315000.0,0,0,0,,2023,10
2021-09-24,"45 DELHURST TERRACE, ONGAR PARK, DUBLIN 15",Dublin,D15H3F4,298000.0,0,0,0,,2021,9
2025-05-30,"C58 Cahermore Holiday Village, Enniscrone",Sligo,F26E7CW,281938.32,0,1,1,,2025,5
2019-04-30,"12  The Avenue, Coolroe Heights, Ballincollig",Cork,,378854.63,0,1,1,,2019,4
2021-09-24,"5 MILLRACE GARDENS, SAGGART, DUBLIN",Dublin,D24Y524,260000.0,0,0,0,,2021,9
2010-11-05,"Craddockstown, Naas",Kildare,,375000.0,0,0,0,,2010,11
2014-11-14,"56 Corran Riada, Monksland, Athlone",Westmeath,,140000.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2014,11
2016-06-07,"49 Lavey Manor, Charlestown",Mayo,,80000.0,0,1,1,greater than 125 sq metres,2016,6
2023-08-28,"53 MELROSE COURT, UPPER GEORGE&#039;S STREET, WEXFORD",Wexford,,190000.0,0,0,0,,2023,8
2024-09-06,"13 TARA, AN CAISLEAN, BALLINCOLLIG",Cork,P31DW67,225000.0,0,0,0,,2024,9
2018-09-20,"CLANRYE, CARRICK ROAD, DUNDALK",Louth,,280000.0,0,0,0,,2018,9
2021-10-20,"13 BEVERLY LAWNS, KNOCKLYON, DUBLIN 16",Dublin,D16C6Y3,534000.0,0,0,0,,2021,10
2014-01-08,"8 ASHGROVE, DERRYLURGAN RD, BALLYJAMESDUFF",Cavan,,60000.0,0,0,0,,2014,1
2025-10-01,"9 ASHLING GALE, SHEAN UPPER, BLARNEY",Cork,T23P942,560000.0,0,0,0,,2025,10
2018-12-10,"16 Cnoc Tiarnach, Grange End, Dunshaughlin",Meath,,352422.9,0,1,1,,2018,12
2018-05-22,"9 COLECOT, LUSK, DUBLIN",Dublin,,367500.0,0,0,0,,2018,5
2023-03-27,"2 Rathborne Gardens, Rathborne, Ashtown",Dublin,D15PF6A,488725.0,0,1,1,,2023,3
2011-02-25,"13 Brindly Park, Ashbourne",Meath,,167500.0,1,0,0,,2011,2
2018-12-05,"17 WINDSOR COURT, STRADBROOK RD, BLACKROCK",Dublin,,323500.0,0,0,0,,2018,12
2010-04-27,"COOLMOREEN, INNISHANNON",Cork,,127000.0,0,0,0,,2010,4
2012-06-26,"14 Barnwell Drive, Hansfield, Dublin 15",Dublin,,164950.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2012,6
2021-11-30,"94 THE WAY, DUNBOYNE CASTLE, DUNBOYNE",Meath,A86KR66,230000.0,0,0,0,,2021,11
2023-10-25,"BILLY PA'S FLAT, MAIN STREET, HOSPITAL",Limerick,V35HF43,100000.0,0,0,0,,2023,10
2022-06-03,"2 THE NURSERIES, MOYLOUGH, CO. GALWAY",Galway,H53V277,180000.0,0,0,0,,2022,6
2023-11-01,"55 HAMMOND ST, BLACKPITTS, DUBLIN",Dublin,D08FCP2,332000.0,0,0,0,,2023,11
